,Lambda,estimand,side,estimate,sterr_if,sterr_boot,bootmean,quantiles50,quantiles90,quantiles95
0,1.0,1,upper,0.34637421248501116,0.010026954837261258,,,,,
1,1.0,1,lower,0.34637421248501116,0.010026954837261258,,,,,
2,1.0,0,upper,0.32216495411509616,0.007819121856309022,,,,,
3,1.0,0,lower,0.32216495411509616,0.007819121856309022,,,,,
4,1.0,ATE,upper,0.024209258369914912,0.012271298691195033,,,,,
5,1.0,ATE,lower,0.024209258369914912,0.012271298691195033,,,,,
6,1.0,ATT,upper,0.032227100801246855,0.013032977205600897,,,,,
7,1.0,ATT,lower,0.032227100801246855,0.013032977205600897,,,,,
8,1.0,ATC,upper,-0.01927798045664288,0.012523410969922526,,,,,
9,1.0,ATC,lower,-0.01927798045664288,0.012523410969922526,,,,,
0,1.001,1,upper,0.3465758613269643,0.010033269447198864,,,,,
1,1.001,1,lower,0.3461727650904525,0.010020647312624082,,,,,
2,1.001,0,upper,0.32229740677627317,0.007822475722580099,,,,,
3,1.001,0,lower,0.32203263377426006,0.00781577221738672,,,,,
4,1.001,ATE,upper,0.0245432275527042,0.012274351677327714,,,,,
5,1.001,ATE,lower,0.023875358314179307,0.012268256399081827,,,,,
6,1.001,ATT,upper,0.032574562868415015,0.013027036560283324,,,,,
7,1.001,ATT,lower,0.0318792912720115,0.01303874077446889,,,,,
8,1.001,ATC,upper,-0.018952635255912478,0.012515027365926546,,,,,
9,1.001,ATC,lower,-0.019603651002573982,0.012531784455152045,,,,,
0,1.002,1,upper,0.3467775101689175,0.01003958483383311,,,,,
1,1.002,1,lower,0.34597171978650176,0.01001435315360585,,,,,
2,1.002,0,upper,0.3224298594374502,0.00782583046587101,,,,,
3,1.002,0,lower,0.32190057754588064,0.007812430139266615,,,,,
4,1.002,ATE,upper,0.024876932623036842,0.012277412295349304,,,,,
5,1.002,ATE,lower,0.02354186034905154,0.012265227820430569,,,,,
6,1.002,ATT,upper,0.0329213313985231,0.013021112183269788,,,,,
7,1.002,ATT,lower,0.03153148174277611,0.013044519225228441,,,,,
8,1.002,ATC,upper,-0.01862793944680022,0.012506663902462474,,,,,
9,1.002,ATC,lower,-0.019929321548505158,0.012540164973394375,,,,,
